residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
315,133842097.08333246,3793.1726536299457,1388.9798368963511,3301.063604765382
316,164663995.30417538,3807.4360734409647,1370.201749982736,3520.208861475704
317,78946974.76855077,13091.487132487991,6134.662737473841,10850.864139600655
318,61536550.24521789,54782.75019233916,23265.23638760598,31007.98404048132
319,97026763.66093676,11436.440789832222,4605.846561328049,7388.0002487511665
320,92326066.8377307,26606.935688106827,11264.771454091097,21925.478519757573
321,182076007.12859857,6650.692447258616,2448.6404573630084,3255
322,251320387.8655195,15076.20803032508,6288.826861484854,10925.432069800328
323,430254542.98038936,18006.049088946955,7349.878593423023,15398.10917470158
324,189883237.08009824,7161.6540875985775,2723.1211398264477,5000
325,114183827.7815372,4284.732176874827,1584.6979734856793,4036.2248718603832
326,72987223.76028222,5139.221501216886,1861.4915902033256,4072.449743720766
327,116508300.22024667,5107.325101711668,1908.8456029269064,3797.12697292281
328,219010106.71257943,22153.561269732923,8435.794881464408,15000
329,90117603.59307872,9870.493274159784,3947.1597211282383,6750
330,151031175.5456651,12102.82679266493,4711.332175364668,10850.864139600655
331,270744789.381636,15774.910527392412,5889.213002885083,4792.216118682415
332,108281055.37974098,6235.59201726122,2265.199267389247,4367.73566788716
333,78217950.25611432,4915.349101747896,1740.1875557558585,3898.563486461406
334,57574482.37726402,5475.461947433589,2062.640431958729,4400
335,113714643.13722403,7083.259196289028,2681.885878569466,5889.540637295537
336,126689224.1090246,8428.529313354049,3052.0904890270663,7000
337,230332924.624236,12266.028414211807,4517.040410735724,8397.769763361575
338,72400551.61250792,8110.2891914985885,3286.303463869453,5000
339,78218810.36029994,6174.519289572135,2252.391809263684,4684.43223736483
340,,,,
341,51331084.59789862,15986.012020522776,6931.013313245838,8795.539763361576
342,41316978.51159527,10542.735011889588,4394.020898819018,7129.525775169853
343,156456007.34222752,9831.343932526524,4323.063948004406,8350.453348727575
344,33378042.662955113,16592.23330387162,6302.500502823852,10535.464332177558
345,247503633.43511575,13239.33986331402,4937.5313391009995,8200.90669745515
346,66281153.35883241,4490.593045991368,1590.2388041946358,3600
347,,,,
348,137711694.1290405,4531.778798507317,1601.4663642595233,3797.12697292281
349,23962742.11746048,7062.925979650867,2472.6800245031955,4072.449743720766
350,,,,
351,111771082.14316964,4208.445053276951,1535.4014251218423,3797.12697292281
352,138923424.5793674,5062.807018198525,1846.8211129490635,5000
353,,,,
354,,,,
355,,,,
356,64120158.657512546,3246.5903117727853,1161.91281430665,2640
357,144474141.116132,3750.529350643337,1347.2164148876063,3301.063604765382
358,6688405.673872162,2969.9847574920796,1021.75460951301,2712.8950764841875
359,121101662.44859748,8808.034216931967,3148.11434045434,4684.431118682415
360,155298118.66521233,22010.618326607553,7904.016625876032,20373.69730267429
361,35916913.29183816,4639.828612819819,1616.7865537626913,4220.092705803963
362,23783381.47408488,4286.066223478974,1505.5631749120014,3540.418861475704
363,61220120.991624065,8741.98500522977,3408.3131606515985,7129.525775169853
364,98013998.29786415,6438.969800148744,2500.1657602189703,5012.045
365,11562653.019394515,4078.5372202449744,1328.1246289219507,3512
366,12727073.1018262,6306.775570776128,1375.1564669720378,5695.540637295537
367,78805602.9103747,4956.327227067589,1865.7512881853947,4200
368,77714778.02874717,5693.80746052804,2221.501244282858,5388.379665162906
369,86132844.70788743,5433.9060442803075,2012.120557569733,4950
370,133531207.98349738,6656.922477865163,2433.4148774191317,5036.405951263869
371,189182260.9389035,5217.381713703902,1937.1122948424536,4592.216118682415
372,134332315.5209409,5528.53385138452,1978.5303118188504,4072.449743720766
373,102883265.0623552,5139.02422888887,1892.140822127399,4367.73566788716
