origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
56,12063.456880236645,0,6773.989062196809,0,6587.437083070049,7210.97806137296,2358.458199297698,176.9984623522345,3165.887298299184,2044.9403068884633,0,333.46092848153876,13554.372593643442,0,54269.97887583902
57,23914.82788263194,720.6968954756403,6480.286270890758,0,1798.394104886188,14866.333262809689,1770.518957994355,241.4713299062718,3773.6454029356473,271.9943732070945,0,803.3369756835388,14910.642517189342,46.91686214943278,69599.06483575996
58,13688.93845133512,180.62777004294023,8676.435640902955,266.5431750433479,1991.1455149641065,17371.351395391684,5413.938235454941,98.18559133897128,2987.3219400197772,98.57232724577466,0,426.8144921270133,12218.011757584169,0,63417.88629145081
59,25093.374866992148,0,12722.144140807388,0,451.8794104012719,21228.897840150676,5644.990436785916,1007.8126587924994,4891.784518695121,1269.5818281409245,38.980618031313554,206.144721463477,13370.553216663411,0,85926.14425692413
60,4059.7410186729535,470.942403863573,7134.293597483445,401.0388319879927,265.50729352441385,13954.545086023934,774.4938064759857,287.66372988722094,3330.1465077801295,3165.1868839029808,0,637.8280263858851,6876.680814884603,0,41358.06800087308
61,13824.860672409011,0,6649.659180888855,0,3279.258368922725,13875.336370775272,2243.2851748522025,0,5497.371969947145,2464.4618901188883,0,0,5378.733400319875,0,53212.96702823399
62,3610.666484697501,609.3028534118415,7496.660408844506,0,589.8341766380978,14039.108831061494,3825.7940620354625,1589.135804985738,1929.4025744285375,1737.0837376957306,0,2222.4366237773656,2274.762812079385,0,39924.18836965567
63,11726.40733345136,200.7143435790885,4005.3482850049695,0,152.37647734106605,8468.621354363615,1908.3495295687685,0,1342.218956025566,700.4786765794797,0,151.10764102343092,493.3199341797634,0,29148.942531117096
64,17052.781138328137,633.9654386114248,11469.709085845185,569.9741467052646,1662.9528091883508,25679.68906966337,9486.799319780395,501.23816947065126,3157.53640948117,5025.39467504908,0,2186.8849364624425,13818.026705156824,0,91244.95190374227
65,5203.437133269993,0,9756.89599227307,91.39099466018365,1806.1049452933428,14454.244576540255,6731.885958227261,320.03884348145135,2360.8364476849906,735.6066342033768,0,2378.383217236259,9636.799808108546,0,53475.6245509787
66,12203.779908189756,0,9107.271991079277,0,359.18634343438885,16252.961044634942,11565.438229278509,133.14331432753377,1871.0238459054249,1501.727440171651,205.6040309851886,203.2515414358956,7464.3996054020035,0,60867.787294844595
67,2693.3806066475754,0,6501.411138134884,53.90272709406882,611.2853290066395,8345.45127911049,1840.8982089412136,418.4170600348325,1052.0255238032996,719.978051707393,0,928.9948489365327,2324.250974003554,0,25489.995747420497
68,14800.401168136812,2334.2356760067523,22847.078900190016,0,2043.7855999808955,27701.681766844104,4998.873783533501,680.7100907702996,5694.779183211108,2942.736794091872,0,3119.8987975578357,16754.893726446913,368.7667381935531,104287.84222496384
69,8364.61547011469,607.9024045589952,15874.420551434228,286.08389857747557,2221.729954881738,12136.993045187444,2024.7263518893396,241.2785660998314,3420.3957830130503,1608.2572178817,0,4239.802356533051,11476.673586902994,30.807983639082067,62533.687170713565
