destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
103,933.96384394685106,423.7710391567364,2055.4402565452374,13.777486387882382,277.5909083730262,4118.832960651744,186.84104602733748,7.3658855796687215,556.4499829058642,8.736246929029607,0,94.20775812273148,281.30312136162865,259.2169062132529,9217.497442200985
104,207.38436766572863,680.7720720483502,983.3519111496433,13.777486387882382,1080.650197615333,3478.5247512295405,1015.7411060168384,22.79674827468983,641.5401456485704,69.17113296852087,0,94.36053852439066,2097.45629089872,0,10385.526748428209
105,781.5322177102043,1723.8222049043377,4247.138431712951,0,1635.71760874014,11405.689032861545,2156.442486348865,0,1686.4835149258442,718.2301366967288,0,697.025875894107,4002.489512210268,0,29054.57102200497
106,3808.8372413067145,2893.930717751156,7459.741388228547,0,686.1476514393462,5971.464094340047,1097.9675599408818,127.76112022952454,1455.551746956148,1896.1466393627647,0,1101.8328183310675,3942.9092519203855,0,30442.290229806596
107,3288.691139429949,5422.8377757954295,4630.563988190646,0,1610.7483083907475,12257.258912046573,3708.0422863238846,0,779.169095903116,1371.080111586592,0,0,9218.491362768005,0,42286.882980434915
108,1123.692356231746,6536.478324154597,2467.2953657294006,152.85666336275187,278.38727665744426,7384.468083435824,1928.22270061301,0,116.13297578777066,1187.2065247975747,30.692671923464022,496.98720521019976,2594.8612080241933,0,24297.281355927975
109,13151.990416189325,4884.5895584882555,25187.577136549706,0,17008.974321784208,46475.94920174201,18790.18570613564,0,2250.925522359664,4474.863571479348,1418.7723076393909,881.49215521385,27007.00820897882,0,161532.32810656013
110,5995.8125390738705,8865.427218081626,27074.101457354143,0,4766.292882648106,16160.254925870557,3412.5951108903505,0,2904.823039822359,3108.940337837806,0,0,25116.401842127852,0,97404.64935370664
111,533.7015405687634,2003.650527480441,11797.493307228728,512.9701124809034,6606.678091168599,21055.977912248534,3805.6475234287623,0,5344.202903649446,7709.559486187539,0,0,12956.503631888265,0,72326.38503632997
112,312.5570111617702,1559.864189382827,10785.546456157062,357.14849961244414,6877.674116345262,16818.976053241902,2966.8344200807364,0,354.64016830170806,3237.8772200775493,449.9042705668393,635.9183232970181,11620.718012748968,496.9225851937546,56474.58132616782
113,951.3686434450151,1301.503189858213,9743.31090751895,497.4907186215378,3548.003090330696,18484.476301889124,6533.164787694396,0,860.8927302265669,637.72648272859,0,390.4178764455268,15489.466450304042,0,58437.82117906268
114,,,,,,,,,,,,,,,
115,5057.764714525083,2540.8022146385424,14707.053241730802,809.9821316025452,14240.778934690165,12131.418651136077,9643.766667981325,0,2177.588751385827,2285.3426939713363,0,0,16386.89051838439,0,79981.38852004612
116,9507.953653721292,14221.410708581036,55571.019337089405,3537.399362170142,23907.161622854303,23683.29179234312,12653.592465036,221.54528056145503,286.9301543220006,4906.204133340789,1005.474377537862,0,90704.83521325908,0,240206.81810081695
117,1117.3663335238623,2923.472864697314,20404.050635598585,3209.843702068059,6538.433398509625,20578.32947568778,9546.973878372817,0,0,2711.996366390317,609.9614195116718,0,17559.93214818303,0,85200.36022254318
118,432.96881161725105,79.27763818638964,5140.8743275211955,116.10042464569209,1596.1772861857048,2134.971103395425,1586.0995500470983,0,0,1541.755009384054,0,0,9274.593395736436,0,21902.81754671925
119,5830.47486151103,10874.461065243184,27950.42026885505,1393.065269478158,14964.183481414086,18143.411631671283,4853.069417983143,0,1082.033358776875,2016.988297411055,0,0,34439.59865059547,0,121547.70630293924
120,,,,,,,,,,,,,,,
121,3465.8136828103916,1056.2968692651714,34003.997685213784,0,7633.58711893967,5042.0934919144065,4920.735896080433,0,2685.776517571496,363.9172392888196,0,1601.4116126195038,43699.3885419508,0,104473.01865565454
122,2301.50123691056,1224.575362330387,22437.58473739907,0,2685.8403589742597,1742.7160230136928,326.434365483813,0,221.15051456893764,0,0,0,26312.866655714213,0,57252.669254394976
123,1934.7076718719793,900.703371373014,24545.8692582508,0,2639.0517567573015,10764.87149987542,6027.690091415451,0,0,1419.6355516306637,0,0,25540.702867315147,0,73773.23206848974
124,1925.7126616178452,638.9811013851945,19178.50515866445,0,7630.404072992997,13569.642354840033,11611.519177746644,0,785.0840791981078,1147.5439629204463,0,461.5369233678169,31587.30780735453,0,88536.23730008812
125,3262.4568392410906,0,17959.405880575872,0,10019.385895329217,18706.390940194487,3075.76192587228,0,2387.8553548538166,993.9336425093602,0,0,18712.05336326915,0,75117.24384184515
126,1915.0826056931992,381.53631943808995,17852.563101186686,0,2829.9862112934707,11151.038771893054,5593.167638922524,0,1333.3898264242257,2525.1390254236567,539.1042399539432,2310.513092788342,13697.631912834471,0,60129.15274585164
127,2156.496838014515,716.3324883436773,31436.57426138042,0,8504.916010274961,20326.937169639557,12758.391168777403,122.96516165134,3564.3968186138604,4216.396230232981,90.51749058442584,190.57010594280325,27531.206006551725,0,111615.69975000757
128,5073.370768192982,0,5177.394362970812,0,241.77629369899864,6623.310198218454,2302.269061473275,0,3080.300818251667,177.47565458534376,0,100.3046901280961,946.8019024230059,0,23723.003749942625
129,6671.84806724655,0,11307.19088924507,0,113.60314983798636,9325.457030854932,2114.582837831644,0,2241.1147749123083,1403.9043029234635,0,85.88731751914565,2912.6562794293927,410.28015625794467,36586.524806058434
130,2162.8368923219405,0,2097.84768044301,0,368.19133862838345,2918.925909874588,463.06241395617224,0,485.7701108538709,336.8161014682525,0,684.5649262258829,3442.515364228557,0,12960.530738000652
